linha,endereco,sku,produto_planilha,quantidade,produto_match,origem_match,score,revisar
170,C16,ACETLV1L,W&W CERA ACETINADA LAMINADOS E VINILICOS 1L,299,W&W CERA ACETINADA PISO LAMINADO E VINILICO 1L,catalogo,84.9,
171,C16,POSOBRA1L,W&W LIMPADOR PÓS OBRA,290,W&W LIMPADOR PS OBRA 1L,catalogo,85.3,
172,C17,REMFRIO1L,W&W REMOVEDOR DE CERAS PISO FRIO 1L,290,W&W REMOVEDOR DE CERA PISO FRIO 1L,catalogo,94.1,
173,C18,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,25,HIGIENITA GERADOR DE ESPUMA MANUAL BORRIFADOR 2L MATERIAL PP,catalogo,72.6,sim
174,C19,WWLIMPPC,W&W LIMPA PORCELANATO 1L,20,W&W LIMPADOR PORCELANATO 1L,catalogo,87.4,
175,C19,CERFRBRIL1L,W&W CERA PISO FRIO BRILHANTE 1L,840,W&W CERA BRILHANTE PISO FRIO 1L,catalogo,79.0,
176,C19,FRIOACET1L,W&W CERA ACETINADA PISO FRIO 1L,17,W&W CERA ACETINADA PISO FRIO 1L,catalogo,100,
177,C19,LIMPFACIL1L,W&W LIMPA FACIL 1L,106,W&W LIMPA FACIL CONCENTRADO 1L,catalogo,83.8,
178,C20,FRPET5L,START LIMPA CANIL FREE PET 5L,25,START FREE PET 5L,catalogo,71.4,sim
179,C20,FRPET2L,START LIMPA CANIL FREE PET 2L,300,START FREE PET 2L,catalogo,71.4,sim
180,C21,,EMBALIXO LAVANDA,0,EMBALIXO LAVANDA,planilha,0,sim
181,C22,ANTMOF,W&W ANTI-MOFO 1L,40,W&W ANTI MOFO 1L,catalogo,100,
182,C22,RMMDPL,W&W REMOVEDOR DE CERAS E SUJEIRAS MADEIRA PLASTICA 1L,840,W&W REMOVEDOR CONCENTRADO DE CERAS E SUJEIRAS MADEIRA PLASTI,catalogo,82.4,
183,C22,SELAIMPE1L,W&W SELADOR IMPERMEABILIZANTE 1L,247,W&W SELADOR IMPERMEABILIZANTE 1L,catalogo,100,
184,C22,TIRAMOFO,W&W LIMPA MOFO 1L,240,W&W TIRA MOFO 1L,catalogo,81.4,
185,C22,SPRAYREJ,W&W LIMPA REJUNTES SPRAY 500ML,535,W&W SPRAY LIMPA REJUNTE PRONTO USO 500ML,catalogo,76.3,sim
186,C23,MAGICO2L,START MÁGICO 2L,0,START MAGICO 2L,catalogo,100,
187,C24,,EMBALIXO CITRUS,78,EMBALIXO CITRUS,planilha,0,sim
188,C25,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,446,HIGIENITA GERADOR DE ESPUMA MANUAL BORRIFADOR 2L MATERIAL PP,catalogo,72.6,sim
189,C26,HIGBORAUT,"HIGIENITA BORRIFADOR AUTOMÁTICO 1,5L",0,"HIGIENITA BORRIFADOR AUTOMATICO GERADOR DE ESPUMA 1,5L",catalogo,87.0,
190,C27,MPLGRF,FLASHLIMP MOP LIMPEZA GERAL E REFIL,0,FLASH LIMP REFIL MOP LIMPEZA GERAL,catalogo,74.2,sim
191,C28,,"FLASHLIMP SACO PARA LAVAR ROUPA P, M e G",0,"FLASHLIMP SACO PARA LAVAR ROUPA P, M e G",planilha,0,sim
192,C28,SCLPMQ,FLASHLIMP SACHE LIMPA MAQUINA,47,FLASHLIMP SACHE LIMPA MAQUINAS DE LAVAR 80G,catalogo,86.6,
193,C29,,FLASHLIMP PAPABOLINHAS PRO E PORTÁTIL,50,FLASHLIMP PAPABOLINHAS PRO E PORTÁTIL,planilha,0,sim
194,C29,,FLASHLIMP MINIVARAL PARA CALÇADOS,68,FLASHLIMP MINIVARAL PARA CALÇADOS,planilha,0,sim
195,C29,PRENDEMB,FLASHLIMP PRENDEDOR DE EMBALAGENS,40,FLASH LIMP PRENDEDOR PARA EMBALAGENS,catalogo,75.9,sim
196,C30,,HIGIENITA PASTILHA LIMPA MAQUINAS,84,HIGIENITA PASTILHA LIMPA MAQUINAS,planilha,0,sim
197,C31,MOPCHELI,FLASHLIMP MOP CHENILE,72,FLASH LIMP MOP CHENILE,catalogo,86.8,
198,C31,ESPOJMG,FLASHLIMP ESPONJA MAGICA,0,FLASH LIMP ESPONJA MAGICA,catalogo,87.0,
199,C32,FLAROLDESC,FLASHLIMP ROLO ADESIVO PLUS,0,FLASH LIMP ROLO ADESIVO PLUS 30 FOLHAS,catalogo,80.2,
200,C32,FLAROLDESC,"FLASHLIMP ROLO ADESIVO PLUS, LAVAVEL E 30 FOLHAS",62,FLASH LIMP ROLO ADESIVO PLUS 30 FOLHAS,catalogo,78.5,
201,C33,CABOMOP,FLASHLIMP CABO PARA MOP GIRATÓRIO,76,FLASH LIMP CABO PARA MOP GIRATRIO,catalogo,84.0,
202,C33,MPGRRF,FLASHLIMP REFIL MOP GIRATÓRIO,14,FLASH LIMP REFIL MOP GIRATORIO,catalogo,90.1,
203,C34,HIGBORAUT,"HIGIENITA BORRIFADOR AUTOMÁTICO 1,5L",36,"HIGIENITA BORRIFADOR AUTOMATICO GERADOR DE ESPUMA 1,5L",catalogo,87.0,
204,C35,EASYBQ2,SPARTAN EASYFRESH BOUQUET 1L,6,SPARTAN EASYFRESH BOUQUET  2 LITROS,catalogo,82.9,
205,C36,FINISHBOUQ5L,SPARTAN FINISHERFRESH BOUQUET E FLORAL 5L,68,SPARTAN FINISHERFRESH BOUQUET  5L,catalogo,80.3,
206,C37,BOWCLE,SPARTAN BOWN CLEANSE 1L,30,SPARTAN BOWL CLEANSE 1L,catalogo,88.4,
207,C37,FINISHBOUQ1L,SPARTAN FINISHERFRESH BOUQUET 1L,22,SPARTAN FINISHERFRESH BOUQUET  1L,catalogo,100,
